Vacancy count analized,71
Lower border normalize salary,30000
Upper border normalize salary,150000
Average junior salary (1-3 year exp),94145
**************************************
Name,Salary
"Оператор базы данных, удаленно",40000
Программист (Джуниор),41325
Репетитор по направлению Python (удалённо),45000
Удалённый сотрудник проверки онлайн-заявок,45000
Python разработчик junior,45000
Удалённый менеджер (подработка),47850
"Рекламщик в интернете (удаленно, подработка)",47850
Junior Python Odoo Framework разработчик,50000
Python разработчик (Junior),52200
"Удаленный Консультант - администратор чата (набор текста, подработка)",52200
Рекламный агент (удаленно),55000
Рекламный агент (удаленно),55000
Junior Python Developer (удаленно),55000
QA python Junior,55000
Удаленный менеджер (подработка),57420
Junior Backend-разработчик на Node.Js,60000
Junior Python Backend Developer,60000
Junior Backend Developer (Python),60000
Разработчик Telegram-ботов на Python,65000
Python/Django Разработчик,65000
Fullstack-разработчик (удаленно),66000
Разработчик (python),70000
Python-разработчик (Junior),70000
Junior Backend Developer TypeScript (node.js),77000
Инженер-программист (программист),80475
Оператор ПК (удаленная работа),82500
Junior Backend разработчик (NodeJS),82500
Инженер по автоматизации / DevOps инженер,82650
"Разработчик программист PostgreSQL, JavaScript",82650
Python Разработчик,85000
Программист Python,87000
"Аналитик - разработчик, удаленно",87000
Python Backend Developer,88000
Системный аналитик,88044
Автор работ по программированию Python,90000
Middle Python Developer,90000
Python тестировщик,95700
Backend position,95700
Backend position,95700
Разработчик ПО,95700
Back-end разработчик,99000
Репетитор по программированию Python и Scratch (6-11 классы),100000
Python разработчик,100000
Тестировщик ПО на Python (QA Engineer),104400
Разработчик (Python),108750
Data Engineer Junior,110000
Python Developer,113100
Программист Python (Middle),115000
Fullstack-разработчик (Python/Django/PHP/Symfony),115000
Врач функциональной диагностики,117711
Python Backend Developer,121000
Разработчик python,121800
Middle Python-разработчик (Инженер-программист 2 категории),124410
Python-разработчик в R&D отдел,125000
Python-разработчик систем сбора,125000
Backend - разработчик Python / Backend developer Python,125000
Python - разработчик,125000
Разработчик Python,126150
Python developer,130000
Middle django-разработчик (Удаленно),132000
Full Stack Разработчик в проект method.do,135000
Разработчик баз данных (PostgreSQL),139200
Python разработчик|Python developer Middle+ (удаленно),139200
Программист,143550
Backend разработчик (Python),143550
Middle \ Senior разработчик Python Backend,150000
Python разработчик (Middle),150000
Backend разработчик Python+Django (удаленно),150000
Backend Python Developer,150000
DevOps инженер,150000
Backend разработчик Telegram/Python/Django (удаленно),150000
